n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
10,2,lexicographic,trivial,nn_2opt_fast,2635.1808126042833,0.1503072497434914,131244,88068,0.6710249611410808,0.1503072497434914,True,False,2635.1808126042833,0
10,2,lexicographic,trivial,greedy_2opt_fast,2635.1808126042833,0.1504456656984985,131244,88068,0.6710249611410808,0.1504456656984985,True,False,2635.1808126042833,0
10,2,lexicographic,trivial,multistart_2opt_fast,2635.180812604283,0.14999974984675646,131244,88068,0.6710249611410808,0.14999974984675646,True,False,2635.180812604283,0
10,2,nearest,trivial,nn_2opt_fast,2635.1808126042833,0.17560795927420259,131244,88068,0.6710249611410808,0.17560795927420259,True,False,2635.1808126042833,0
10,2,nearest,trivial,greedy_2opt_fast,2635.1808126042833,0.1765187499113381,131244,88068,0.6710249611410808,0.1765187499113381,True,False,2635.1808126042833,0
10,2,nearest,trivial,multistart_2opt_fast,2635.180812604283,0.17830949975177646,131244,88068,0.6710249611410808,0.17830949975177646,True,False,2635.180812604283,0
10,2,greedy,trivial,nn_2opt_fast,2635.1808126042833,0.19103437522426248,131244,88068,0.6710249611410808,0.19103437522426248,True,False,2635.1808126042833,0
10,2,greedy,trivial,greedy_2opt_fast,2635.1808126042833,0.19163741683587432,131244,88068,0.6710249611410808,0.19163741683587432,True,False,2635.1808126042833,0
10,2,greedy,trivial,multistart_2opt_fast,2635.180812604283,0.18937074998393655,131244,88068,0.6710249611410808,0.18937074998393655,True,False,2635.180812604283,0
10,2,random,trivial,nn_2opt_fast,2635.1808126042833,0.1692105419933796,131244,88068,0.6710249611410808,0.1692105419933796,True,False,2635.1808126042833,0
10,2,random,trivial,greedy_2opt_fast,2635.1808126042833,0.17278112517669797,131244,88068,0.6710249611410808,0.17278112517669797,True,False,2635.1808126042833,0
10,2,random,trivial,multistart_2opt_fast,2635.180812604283,0.1708657080307603,131244,88068,0.6710249611410808,0.1708657080307603,True,False,2635.180812604283,0
10,2,lexicographic,mst,nn_2opt_fast,2635.1808126042833,0.0014163749292492867,183,154,0.8415300546448088,0.0014163749292492867,True,False,2635.1808126042833,0
10,2,lexicographic,mst,greedy_2opt_fast,2635.1808126042833,0.0014856248162686825,183,154,0.8415300546448088,0.0014856248162686825,True,False,2635.1808126042833,0
10,2,lexicographic,mst,multistart_2opt_fast,2635.180812604283,0.0022894171997904778,183,154,0.8415300546448088,0.0022894171997904778,True,False,2635.180812604283,0
